"tip.label","species","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145"
"Hemitriakis_abdita","Hemitriakis abdita",25.8345099546646,24.0059597840397,8.53241717756452,660.16,700.5,0,0,3.11551564818592,3.40774379066269,1.4583360638474,505.39,453,0,0,0.332446765859766,0.33319531688956,0.118517018688935,660.82,617,0,0
"Etmopterus_joungi","Etmopterus joungi",26.0228133854801,24.5120073576819,9.53402998792544,661.64,686,0,0,2.27147549501479,2.31336713184225,1.09918779154885,629.13,644.5,0,0,0.570891857601641,0.586674842464563,0.194006390912979,424.33,427.5,0,0
"Etmopterus_schmidti","Etmopterus schmidti",26.2369910546709,24.1187133209159,10.6422873044044,663.98,667,0,0,2.25629074428691,2.32158787352223,0.956463718749816,625.53,637,0,0,0.571743841986702,0.583639370821637,0.193029304592158,424.04,428,0,0
"Fenestraja_sinusmexicanus","Fenestraja sinusmexicanus",26.17552382002,25.0751082063098,10.8047053061532,664.91,683,0,0,1.8071815477931,1.05464161699862,1.55688610217583,818.84,907.5,0,0,0.26872039677541,0.240329276407919,0.112050396656112,905.45,970.5,0,0
"Carcharhinus_brachyurus","Carcharhinus brachyurus",25.0222428527019,26.3442344367949,6.17698430790688,666.31,650,0,0,0.899860333958103,0.935924973305407,0.254239663140169,979.08,969.5,0,0,0.248234855982401,0.254745573352728,0.0614499239089387,962.84,959.5,0,0
"Urotrygon_simulatrix","Urotrygon simulatrix",26.0545122239317,25.8320223419395,10.6198188162502,666.86,615.5,0,0,2.09278966571082,2.03403519478199,0.618679090600255,650.39,657,0,0,0.29671238629964,0.288023701479403,0.0661690006571943,734.93,754,0,0
"Malacoraja_obscura","Malacoraja obscura",25.9576543213085,24.6143020632141,9.82456047140236,666.89,669,0,0,1.6124059424008,1.51561730487053,1.09755944956724,834.03,859.5,0,0,0.260943017795274,0.251445905569802,0.0851793814234569,910.65,935,0,0
"Galeus_cadenati","Galeus cadenati",27.1246720974459,22.6198877726112,14.9540468071944,667.18,698.5,0,0,2.53977926781332,2.37058852500875,2.26958004392069,631.56,647.5,0,0,0.324620400292043,0.315435818630236,0.10300703647518,665.68,650.5,0,0
"Etmopterus_villosus","Etmopterus villosus",26.2683501573224,22.635282918727,11.4104907871782,667.36,666.5,0,0,2.24450968358967,2.29481237738798,1.10929927198895,635.62,658.5,0,0,0.56714304299808,0.585455480852932,0.188591819107279,427.48,427,0,0
"Fenestraja_ishiyamai","Fenestraja ishiyamai",26.0982799815957,25.2592646800142,10.3162589451469,667.78,686.5,0,0,1.80949555183259,1.05047067024261,1.55332844686886,815.93,910,0,0,0.268259476215303,0.237281648693763,0.109118268692144,906.51,967.5,0,0
