"Rank_ED","species_tree","species","ED"
139,"Gymnura_hirundo","Gymnura hirundo",53.3697147566648
140,"Chimaera_obscura","Chimaera obscura",53.294145460255
141,"Chimaera_bahamaensis","Chimaera bahamaensis",53.0294816647853
142,"Sphyrna_mokarran","Sphyrna mokarran",52.7400314584583
143,"Hydrolagus_alberti","Hydrolagus alberti",52.5287613132852
144,"Hydrolagus_alphus","Hydrolagus alphus",52.5287613132852
145,"Himantura_lobistoma","Himantura lobistoma",52.516030040883
146,"Heterodontus_japonicus","Heterodontus japonicus",52.1978295679493
147,"Heterodontus_omanensis","Heterodontus omanensis",52.1978295679493
148,"Benthobatis_marcida","Benthobatis marcida",51.8967398842274
149,"Etmopterus_schmidti","Etmopterus schmidti",51.8754834779438
150,"Hydrolagus_deani","Hydrolagus deani",51.457969215255
151,"Schroederichthys_maculatus","Schroederichthys maculatus",51.3104668343045
152,"Hemitriakis_indroyonoi","Hemitriakis indroyonoi",51.1778804557795
153,"Hongeo_koreana","Hongeo koreana",51.1105613489492
154,"Schroederichthys_saurisqualus","Schroederichthys saurisqualus",50.8726572528545
155,"Schroederichthys_chilensis","Schroederichthys chilensis",50.8726572528545
156,"Trygonoptera_testacea","Trygonoptera testacea",50.435957942604
157,"Taeniurops_grabata","Taeniurops grabata",50.4147811225933
158,"Taeniurops_meyeni","Taeniurops meyeni",50.4147811225933
159,"Chimaera_jordani","Chimaera jordani",50.3112925911186
160,"Chimaera_cubana","Chimaera cubana",50.3112925911186
161,"Squatina_squatina","Squatina squatina",50.1967858181366
162,"Squatina_caillieti","Squatina caillieti",50.1967858181366
163,"Narcine_leoparda","Narcine leoparda",50.170404728758
164,"Parascyllium_sparsimaculatum","Parascyllium sparsimaculatum",50.0366495727496
165,"Aetomylaeus_nichofii","Aetomylaeus nichofii",49.9572173081752
166,"Myliobatis_californicus","Myliobatis californicus",49.9146797962906
167,"Narcine_lasti","Narcine lasti",49.7958661242274
168,"Narcine_tasmaniensis","Narcine tasmaniensis",49.7958661242274
169,"Gymnura_japonica","Gymnura japonica",49.5906716316648
170,"Gymnura_australis","Gymnura australis",49.5906716316648
171,"Scymnodalatias_garricki","Scymnodalatias garricki",49.5757120810744
172,"Scymnodalatias_oligodon","Scymnodalatias oligodon",49.5757120810744
173,"Sphyrna_zygaena","Sphyrna zygaena",49.3956640752917
174,"Bythaelurus_canescens","Bythaelurus canescens",49.2501867434817
175,"Deania_quadrispinosa","Deania quadrispinosa",49.16639462598
176,"Deania_profundorum","Deania profundorum",49.16639462598
177,"Somniosus_rostratus","Somniosus rostratus",49.1125545417366
178,"Somniosus_longus","Somniosus longus",49.1125545417366
179,"Rhinochimaera_africana","Rhinochimaera africana",48.995294337646
180,"Rhinochimaera_atlantica","Rhinochimaera atlantica",48.995294337646
181,"Cirrhigaleus_barbifer","Cirrhigaleus barbifer",48.9708794627141
182,"Cirrhigaleus_australis","Cirrhigaleus australis",48.9708794627141
183,"Aulohalaelurus_labiosus","Aulohalaelurus labiosus",48.9269401454473
184,"Aulohalaelurus_kanakorum","Aulohalaelurus kanakorum",48.9269401454473
185,"Urobatis_marmoratus","Urobatis marmoratus",48.5713985483206
186,"Rhinobatos_lionotus","Rhinobatos lionotus",48.5220197345774
187,"Odontaspis_noronhai","Odontaspis noronhai",48.4992919782776
188,"Odontaspis_ferox","Odontaspis ferox",48.4992919782776
189,"Hemigaleus_microstoma","Hemigaleus microstoma",48.496187900231
190,"Hemigaleus_australiensis","Hemigaleus australiensis",48.496187900231
191,"Dipturus_kwangtungensis","Dipturus kwangtungensis",48.3327699332954
192,"Proscyllium_habereri","Proscyllium habereri",48.2744146970686
193,"Gymnura_crooki","Gymnura crooki",48.1116153616648
194,"Hydrolagus_mitsukurii","Hydrolagus mitsukurii",48.1113732933472
195,"Hydrolagus_africanus","Hydrolagus africanus",48.1113732933472
196,"Sutorectus_tentaculatus","Sutorectus tentaculatus",48.0882773260058
197,"Harriotta_raleighana","Harriotta raleighana",47.988532905646
198,"Harriotta_haeckeli","Harriotta haeckeli",47.988532905646
199,"Haploblepharus_fuscus","Haploblepharus fuscus",47.9322175725376
200,"Squatina_africana","Squatina africana",47.9240227224725
201,"Zameus_squamulosus","Zameus squamulosus",47.7181133088935
202,"Zameus_ichiharai","Zameus ichiharai",47.7181133088935
203,"Rostroraja_alba","Rostroraja alba",47.4490094775145
204,"Scymnodon_ringens","Scymnodon ringens",47.3635179802744
205,"Himantura_schmardae","Himantura schmardae",47.3547877304792
206,"Himantura_pacifica","Himantura pacifica",47.3547877304792
207,"Oxynotus_caribbaeus","Oxynotus caribbaeus",47.3063593235464
208,"Nebrius_ferrugineus","Nebrius ferrugineus",47.2858732946908
209,"Rhincodon_typus","Rhincodon typus",47.2858722946908
210,"Neotrygon_kuhlii","Neotrygon kuhlii",47.2446167703903
211,"Heterodontus_zebra","Heterodontus zebra",47.2241605439493
212,"Heterodontus_quoyi","Heterodontus quoyi",47.2241595439493
213,"Etmopterus_robinsi","Etmopterus robinsi",47.1385970878581
214,"Dasyatis_sabina","Dasyatis sabina",47.0942333097574
215,"Dasyatis_sinensis","Dasyatis sinensis",47.0942333097574
216,"Rhinobatos_albomaculatus","Rhinobatos albomaculatus",47.0339112279886
217,"Pteroplatytrygon_violacea","Pteroplatytrygon violacea",46.9298047949862
218,"Ginglymostoma_cirratum","Ginglymostoma cirratum",46.9020815694908
219,"Stegostoma_fasciatum","Stegostoma fasciatum",46.9020805694908
220,"Centrophorus_westraliensis","Centrophorus westraliensis",46.7187036666619
221,"Rhinobatos_irvinei","Rhinobatos irvinei",46.641666060125
222,"Rhinobatos_lentiginosus","Rhinobatos lentiginosus",46.641666060125
223,"Squatina_armata","Squatina armata",46.5277090272725
224,"Cruriraja_parcomaculata","Cruriraja parcomaculata",46.4191699898302
225,"Mustelus_whitneyi","Mustelus whitneyi",46.3631274742462
226,"Cephaloscyllium_maculatum","Cephaloscyllium maculatum",46.3195276811921
227,"Dactylobatus_armatus","Dactylobatus armatus",45.7050270516515
228,"Dactylobatus_clarkii","Dactylobatus clarkii",45.7050270516515
229,"Acroteriobatus_salalah","Acroteriobatus salalah",45.2721415009887
230,"Rhinobatos_glaucostigma","Rhinobatos glaucostigma",45.2721415009887
231,"Mustelus_sinusmexicanus","Mustelus sinusmexicanus",45.2425151926052
232,"Cirrhoscyllium_japonicum","Cirrhoscyllium japonicum",45.0680188794163
233,"Acroteriobatus_annulatus","Acroteriobatus annulatus",45.0618753655774
234,"Torpedo_mackayana","Torpedo mackayana",45.0577488011901
235,"Torpedo_tokionis","Torpedo tokionis",45.0577488011901
236,"Sinobatis_filicauda","Sinobatis filicauda",45.0422554535858
237,"Sinobatis_bulbicauda","Sinobatis bulbicauda",45.0422554535858
238,"Deania_hystricosa","Deania hystricosa",45.00699638698
239,"Deania_calcea","Deania calcea",45.00699638698
240,"Torpedo_suessii","Torpedo suessii",44.8900985777346
241,"Torpedo_bauchotae","Torpedo bauchotae",44.8900985777346
242,"Figaro_boardmani","Figaro boardmani",44.8464750919918
243,"Figaro_striatus","Figaro striatus",44.8464750919918
244,"Isistius_plutodus","Isistius plutodus",44.7808854121427
245,"Isistius_labialis","Isistius labialis",44.6515960717427
246,"Isistius_brasiliensis","Isistius brasiliensis",44.6515960717427
247,"Apristurus_investigatoris","Apristurus investigatoris",44.5527780326345
248,"Glaucostegus_halavi","Glaucostegus halavi",44.5289271215498
249,"Discopyge_castelloi","Discopyge castelloi",44.5092263888846
250,"Discopyge_tschudii","Discopyge tschudii",44.5092263888846
251,"Rhinobatos_planiceps","Rhinobatos planiceps",44.1182673551553
252,"Rhinobatos_productus","Rhinobatos productus",44.103315850322
253,"Rhinobatos_leucorhynchus","Rhinobatos leucorhynchus",44.103315850322
254,"Narcine_ornata","Narcine ornata",44.007948844883
255,"Carcharhinus_signatus","Carcharhinus signatus",43.8342195066151
256,"Squatina_argentina","Squatina argentina",43.8197258626366
257,"Squatina_aculeata","Squatina aculeata",43.8197258626366
258,"Scyliorhinus_capensis","Scyliorhinus capensis",43.8131254319636
259,"Pristiophorus_cirratus","Pristiophorus cirratus",43.5921238501168
260,"Mustelus_griseus","Mustelus griseus",43.5808627029962
261,"Mobula_rochebrunei","Mobula rochebrunei",43.3516682343586
262,"Dasyatis_margaritella","Dasyatis margaritella",43.346958746203
263,"Dasyatis_margarita","Dasyatis margarita",43.346958746203
264,"Torpedo_semipelagica","Torpedo semipelagica",43.1574319764059
265,"Scyliorhinus_hesperius","Scyliorhinus hesperius",43.0520270995787
266,"Pentanchus_profundicolus","Pentanchus profundicolus",43.0068824535224
267,"Paratrygon_aiereba","Paratrygon aiereba",42.911609663931
268,"Hydrolagus_novaezealandiae","Hydrolagus novaezealandiae",42.6670084904016
269,"Etmopterus_gracilispinis","Etmopterus gracilispinis",42.6193072329438
270,"Mustelus_mangalorensis","Mustelus mangalorensis",42.5953138706628
271,"Heteroscymnoides_marleyi","Heteroscymnoides marleyi",42.5764439329094
