"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species"
"Raja_africana",21.8271520269263,18.5745534619435,12.044308842597,818.01,855,0,0,"Raja africana"
"Apristurus_ampliceps",20.8998829961338,20.1089705164133,7.19698681021747,818.05,859.5,0,0,"Apristurus ampliceps"
"Raja_montagui",20.9443027909634,19.7429219120706,7.44013083182201,819.02,834,0,0,"Raja montagui"
"Squalus_raoulensis",22.4035873580384,20.1478059061046,14.2087612930232,819.81,872.5,0,0,"Squalus raoulensis"
"Apristurus_aphyodes",20.3974544827284,20.7466854129841,4.72547879193344,820.76,810,0,0,"Apristurus aphyodes"
"Dasyatis_akajei",20.9202303996309,19.7192866513355,8.13906215604271,821.42,877.5,0,0,"Dasyatis akajei"
"Cephaloscyllium_zebrum",20.9606087003087,18.5394515518086,9.31058109494266,821.55,855,0,0,"Cephaloscyllium zebrum"
"Apristurus_japonicus",20.4993481256092,20.2622169660548,5.93483202677966,822.53,841.5,0,0,"Apristurus japonicus"
"Galeus_polli",20.2701717802508,19.4924842509453,5.39318794941672,825.36,835.5,0,0,"Galeus polli"
"Asymbolus_submaculatus",20.7822548143536,19.0634604222298,8.10307410844899,826.44,880,0,0,"Asymbolus submaculatus"
"Apristurus_manis",20.5293318818622,19.584552510582,7.14603789284792,828.99,863.5,0,0,"Apristurus manis"
"Centroscyllium_nigrum",20.3073780721859,21.3557559715443,4.28778230759138,831.85,837,0,0,"Centroscyllium nigrum"
"Apristurus_brunneus",20.3136526313079,19.5188259396044,6.8691561467871,831.95,876.5,0,0,"Apristurus brunneus"
"Rajella_barnardi",20.4757747789428,21.3237312337287,7.64807894219403,833.08,867.5,0,0,"Rajella barnardi"
"Cephaloscyllium_pictum",20.0321838492747,19.0303129168218,5.93943839784794,833.14,857.5,0,0,"Cephaloscyllium pictum"
"Rajella_kukujevi",20.5352752072651,20.8100243615235,7.77992512577954,833.28,858.5,0,0,"Rajella kukujevi"
