"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species","length","trophic.level","max.depth","vertical.position","reproductive.guild","growth.ratio","shape.pc1","shape.pc2","top20_ED_100tree"
"Zapteryx_xyster",70.4591776592676,68.6961947821917,19.8437893508063,72.58,81,8,0.08,"Zapteryx xyster",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Heterodontus_francisci",77.7031126488292,70.9222807919477,30.2518020442905,77.63,62,23,0.23,"Heterodontus francisci",0.459203451981922,-1.56240976813618,-0.759652797887665,"demersal","oviparous",1.25233571766996,0.866603515319521,-0.720190250460212,"Other species"
"Lamna_ditropis",63.8250660728048,65.2416867010072,9.27014271192409,84.45,84,0,0,"Lamna ditropis",1.69213879091089,1.08851415849481,0.442823083183316,"pelagic-oceanic","aplacental viviparous",-0.0305655707464857,1.60037471197387,-0.938729785234334,"Other species"
"Lamna_nasus",63.8250660728048,65.2416867010072,9.27014271192409,85.45,85,0,0,"Lamna nasus",1.8773182915574,0.713045766188822,1.05376106806353,"pelagic-oceanic","aplacental viviparous",0.323127922465816,1.89771933340257,-0.650819422008595,"Other species"
"Iago_garricki",64.8122692409941,67.6139334119853,14.4737625845994,88.56,83.5,0,0,"Iago garricki",-0.195461736214918,1.08851415849481,0.183262304899405,"bathydemersal","viviparous",-0.596264651059104,0.939848694504757,0.592904518069834,"Other species"
"Aetomylaeus_vespertilio",69.6362519732553,75.3856643820525,18.1797833969558,88.96,45.5,0,0,"Aetomylaeus vespertilio",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Iago_omanensis",64.8122692409941,67.6139334119853,14.4737625845994,89.56,84.5,0,0,"Iago omanensis",-0.810063146225747,-0.34047392241289,1.44989708450772,"bathydemersal","viviparous",-0.868572901744787,1.26832395782053,0.685115912831607,"Other species"
"Isurus_oxyrinchus",62.7318668879915,64.0909638983039,8.62071024076224,90.27,91,0,0,"Isurus oxyrinchus",2.20044551783062,0.603552790042962,0.561243205064146,"pelagic-oceanic","aplacental viviparous",0.966669846993093,1.22549544788909,-1.19563045922887,"Other species"
"Isurus_paucus",62.7318668879915,64.0909638983039,8.62071024076224,91.27,92,0,0,"Isurus paucus",2.12903738945806,1.08851415849481,1.26335210495391,"pelagic-oceanic","aplacental viviparous",-0.143524130378789,1.5647102060602,-2.3336484702002,"Other species"
"Aptychotrema_vincentiana",63.8659230852768,67.5665458878015,14.1719829627009,91.81,78.5,0,0,"Aptychotrema vincentiana",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Narcine_westraliensis",63.4953113223963,63.639753541324,6.76854460554877,93.66,98.5,4,0.04,"Narcine westraliensis",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Aptychotrema_rostrata",62.9972899186477,66.0684892872629,13.9753000340133,94.66,92,0,0,"Aptychotrema rostrata",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Neoharriotta_pinnata",65.9056152477458,60.5667830768252,14.6157757817998,95.83,80.5,8,0.08,"Neoharriotta pinnata",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Eucrossorhinus_dasypogon",65.6299002458368,69.0579270111199,18.8341056007834,97.35,80.5,0,0,"Eucrossorhinus dasypogon",1.93746560979078,-0.370285490918501,-1.67974732102371,"reef-associated","aplacental viviparous",2.98016633983591,-1.50596599076598,-0.308403620371082,"Other species"
"Neoharriotta_pumila",64.8306738394118,59.2077940972978,14.4662570072043,99.34,91,8,0.08,"Neoharriotta pumila",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Okamejei_jensenae",61.5796468429807,63.9940726022893,13.3376821514935,99.5,98,0,0,"Okamejei jensenae",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Makararaja_chindwinensis",65.6233042528094,61.8491134618744,17.3957869466027,101.78,75.5,6,0.06,"Makararaja chindwinensis",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Neoharriotta_carri",63.3579333494528,59.5875634985802,12.6142977437078,102.1,91,1,0.01,"Neoharriotta carri",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Aptychotrema_timorensis",62.0725948705647,61.8311308377017,16.0045668521779,105.29,108.5,3,0.03,"Aptychotrema timorensis",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Hexanchus_vitulus",60.066445527016,59.7907426066961,10.7525835566143,106.83,104,0,0,"Hexanchus vitulus",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Hexanchus_nakamurai",60.1150326269471,59.5300592212477,11.6314081232421,108.24,107.5,0,0,"Hexanchus nakamurai",0.982544661605328,-0.370285490918501,0.37658540800809,"bathydemersal","aplacental viviparous",0.0319727714212626,-0.265249660708527,-0.973484530356907,"Other species"
"Hexanchus_griseus",59.828533239404,59.9167662668877,10.8368285613838,108.61,108,0,0,"Hexanchus griseus",2.30791614349452,0.875415999668455,1.55756581646319,"bathydemersal","aplacental viviparous",1.05294567732726,-0.593454892931828,-1.68749465037648,"Other species"
"Heterodontus_mexicanus",66.732651166809,60.7982906370804,24.4095229517603,109.31,92,5,0.05,"Heterodontus mexicanus",0.905633888758967,0.126609483574854,-1.67974732102371,"demersal","oviparous",2.14021126828024,1.14170010301466,0.0427325026369917,"Other species"
"Trygonoptera_ovalis",61.8547546777912,65.0670265803167,12.3178196992962,109.51,83,0,0,"Trygonoptera ovalis",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Galeorhinus_galeus",62.840235218251,68.07033504493,17.4078557623174,111.1,79.5,0,0,"Galeorhinus galeus",1.08332977987206,0.548425527244947,0.878180464396212,"benthopelagic","aplacental viviparous",0.534206561751079,1.23352794192211,-0.821998932150213,"Other species"
"Dalatias_licha",70.6318992979005,68.2824180026758,26.890556607791,111.22,61.5,3,0.03,"Dalatias licha",0.997413014028746,0.548425527244947,1.28571911968998,"bathydemersal","aplacental viviparous",0.403446921747364,-0.21407999383752,0.238827387300082,"Other species"
"Alopias_vulpinus",65.7755882470029,63.4506507099522,20.8365522468157,113.95,68.5,0,0,"Alopias vulpinus",2.51250249114001,0.740262052583538,0.442823083183316,"pelagic-oceanic","aplacental viviparous",-0.0551641063543572,1.41596392072845,-1.13544897702413,"Other species"
"Alopias_pelagicus",64.3620027273968,57.4600368724473,20.8039273157382,117.57,83,0,0,"Alopias pelagicus",2.07536999500424,1.08851415849481,-0.197014100666867,"pelagic-oceanic","aplacental viviparous",-1.24016089472715,1.0626259997232,-1.53395909674712,"Other species"
"Hypogaleus_hyugaensis",62.443221071494,67.6388788942267,17.4640464298733,117.86,80.5,0,0,"Hypogaleus hyugaensis",0.486497941662886,-0.571244772841618,-0.416891219974651,"demersal","viviparous (with a yolk-sac placenta)",-0.222368416506987,0.321597173029653,-0.666067485342372,"Other species"
