"Rank_rho001","species_tree","species","EvoHeritage_rho001","Ancestral_EvoHeritage"
147,"Hemigaleus_australiensis","Hemigaleus australiensis",41.7651990430555,99.3873870167091
148,"Squatina_squatina","Squatina squatina",41.7646055139007,99.8201720280223
149,"Scymnodalatias_garricki","Scymnodalatias garricki",41.7586002485378,97.3092441424317
150,"Narcine_lasti","Narcine lasti",41.7411207987966,98.6135318504299
151,"Sphyrna_zygaena","Sphyrna zygaena",41.5974550153819,97.7873513078439
152,"Deania_quadrispinosa","Deania quadrispinosa",41.5456493800563,106.77537385274
153,"Hydrolagus_alberti","Hydrolagus alberti",41.4734227362098,97.5363004599612
154,"Cruriraja_parcomaculata","Cruriraja parcomaculata",41.4019021578203,108.02871830996
155,"Cirrhigaleus_australis","Cirrhigaleus australis",41.063619661162,105.040999083155
156,"Hydrolagus_alphus","Hydrolagus alphus",41.0246859607995,93.9713412994009
157,"Hydrolagus_deani","Hydrolagus deani",40.9502876135786,96.7890106790324
158,"Himantura_pacifica","Himantura pacifica",40.8908345980508,99.308658605679
159,"Hongeo_koreana","Hongeo koreana",40.8239923915169,104.871771257834
160,"Cirrhigaleus_barbifer","Cirrhigaleus barbifer",40.8026085454589,107.483629390608
161,"Chimaera_jordani","Chimaera jordani",40.7986520769398,95.4157766734164
162,"Haploblepharus_fuscus","Haploblepharus fuscus",40.787480515725,102.780963444713
163,"Zameus_squamulosus","Zameus squamulosus",40.6403794531909,93.8879619814332
164,"Acroteriobatus_annulatus","Acroteriobatus annulatus",40.6125003842665,106.221829086205
165,"Neotrygon_kuhlii","Neotrygon kuhlii",40.5897740358162,96.425922582303
166,"Chimaera_cubana","Chimaera cubana",40.5267990274152,97.8659992601457
167,"Dasyatis_sabina","Dasyatis sabina",40.4377827925792,98.1978585683231
168,"Squatina_caillieti","Squatina caillieti",40.3915716363414,94.0682506476267
169,"Sutorectus_tentaculatus","Sutorectus tentaculatus",40.2983878067688,96.8552907344136
170,"Pteroplatytrygon_violacea","Pteroplatytrygon violacea",40.2526568894797,97.164749777038
171,"Figaro_striatus","Figaro striatus",40.2228677991761,104.694753684633
172,"Pentanchus_profundicolus","Pentanchus profundicolus",40.2056811044466,100.4560675203
173,"Gymnura_crooki","Gymnura crooki",40.1677754855631,101.707084355846
174,"Heterodontus_portusjacksoni","Heterodontus portusjacksoni",40.1428683217001,99.6831339600464
175,"Figaro_boardmani","Figaro boardmani",40.0573214032844,106.699217205925
176,"Heterodontus_galeatus","Heterodontus galeatus",40.0244402790877,98.6043652994267
177,"Rhinobatos_lionotus","Rhinobatos lionotus",39.8354104281953,98.8623703866593
178,"Callorhinchus_capensis","Callorhinchus capensis",39.6541412479936,100.492693946453
179,"Dasyatis_sinensis","Dasyatis sinensis",39.5583983319421,94.5617880511224
180,"Aculeola_nigra","Aculeola nigra",39.5226200133695,105.519977156092
181,"Proscyllium_habereri","Proscyllium habereri",39.4864739309562,99.6946985865589
182,"Torpedo_tokionis","Torpedo tokionis",39.3934473941844,90.4124518721237
183,"Oxynotus_caribbaeus","Oxynotus caribbaeus",39.3593708087564,103.708197284863
184,"Rhinobatos_holcorhynchus","Rhinobatos holcorhynchus",39.3203006842704,97.2257942268069
185,"Deania_profundorum","Deania profundorum",39.3170491865549,102.460016365623
186,"Dactylobatus_clarkii","Dactylobatus clarkii",39.3151622872152,106.647581032223
187,"Squatina_africana","Squatina africana",39.2749656254527,96.6534094911976
188,"Rhinobatos_albomaculatus","Rhinobatos albomaculatus",39.2595608233083,103.892546211767
189,"Dasyatis_margaritella","Dasyatis margaritella",39.2059482900343,101.633548914764
190,"Mustelus_whitneyi","Mustelus whitneyi",39.2010032667868,98.7445089587888
191,"Rhinobatos_glaucostigma","Rhinobatos glaucostigma",39.1501566129728,105.636849492079
192,"Centrophorus_westraliensis","Centrophorus westraliensis",39.1290045623843,103.504753509888
193,"Etmopterus_robinsi","Etmopterus robinsi",39.0710330683817,98.9283930758963
194,"Rhinobatos_jimbaranensis","Rhinobatos jimbaranensis",39.0679375682379,97.6605158158201
195,"Odontaspis_ferox","Odontaspis ferox",38.9358677842451,95.7877640209538
196,"Dipturus_kwangtungensis","Dipturus kwangtungensis",38.8981171335789,105.517814878305
197,"Aptychotrema_timorensis","Aptychotrema timorensis",38.8705368392509,102.221032732914
198,"Pristiophorus_cirratus","Pristiophorus cirratus",38.8196175827002,102.806302761747
199,"Zameus_ichiharai","Zameus ichiharai",38.8055631663099,93.4669153536154
200,"Neoharriotta_carri","Neoharriotta carri",38.7339646930597,100.386610397741
201,"Scyliorhinus_capensis","Scyliorhinus capensis",38.6967596901833,97.4602757404359
202,"Rhinobatos_planiceps","Rhinobatos planiceps",38.6800695694759,105.667280249548
203,"Scymnodon_ringens","Scymnodon ringens",38.6517995933637,100.360479227893
