"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Anacanthobatis nanhaiensis",843,20.7144288378482,870,17.711908999098,554,2.57871672710471,662,0.321999506073988,27,-289,-181,"Anacanthobatis nanhaiensis","Anacanthobatis nanhaiensis","Elasmobranchii","Rajiformes","Anacanthobatidae","Anacanthobatis","ray"
"Anacanthobatis ori",772,23.0658705340149,752,20.4528133352326,526,2.75129493084024,764,0.286893059480353,-20,-246,-8,"Anacanthobatis ori","Indobatis ori","Elasmobranchii","Rajiformes","Anacanthobatidae","Anacanthobatis","ray"
"Anacanthobatis stenosoma",681,26.1600169915149,662,22.8602905432163,556,2.57142890522682,691,0.315005396653245,-19,-125,10,"Anacanthobatis stenosoma","Sinobatis stenosoma","Elasmobranchii","Rajiformes","Anacanthobatidae","Anacanthobatis","ray"
"Anoxypristis cuspidata",6,125.9208433425,7,75.9666816654408,9,26.8254738615311,59,2.5849294181462,1,3,53,"Anoxypristis cuspidata","Anoxypristis cuspidata","Elasmobranchii","Rhinopristiformes","Pristidae","Anoxypristis","ray"
"Apristurus albisoma",939,18.1792586945153,910,16.8204506317629,832,1.63101329720316,614,0.338453781320089,-29,-107,-325,"Apristurus albisoma","Apristurus albisoma","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus ampliceps",956,17.650799607307,935,16.1416068734269,819,1.67055683364535,620,0.33476371185961,-21,-137,-336,"Apristurus ampliceps","Apristurus ampliceps","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus aphyodes",958,17.6372722441737,944,15.9086561164128,779,1.81504978831104,669,0.32029745648419,-14,-179,-289,"Apristurus aphyodes","Apristurus aphyodes","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus australis",457,33.2053067463012,431,28.9720352146217,731,1.9562387550061,600,0.342882514305305,-26,274,143,"Apristurus australis","Apristurus australis","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus brunneus",616,28.1010479873481,586,24.9414889252231,612,2.28712353235231,660,0.322754382915914,-30,-4,44,"Apristurus brunneus","Apristurus brunneus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus bucephalus",940,18.1792586945153,928,16.3072238506044,830,1.63628774676388,618,0.335238513608719,-12,-110,-322,"Apristurus bucephalus","Apristurus bucephalus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
