"tip.label","mean_ED","median_ED","sd_ED","mean_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145","species","rank_change_66_vs_ED","rank_change_145_vs_ED","rank_change_145_vs_66"
"Trygonorrhina_fasciata",74.9145638340903,70.318637126582,23.1089808482551,66.66,12,0.12,17.3860586568254,16.10799142263,6.23559938716828,37.47,36,16,0.16,4.26421587358096,4.09291256071108,1.78456783036965,29.91,29,22,0.22,"Trygonorrhina fasciata",-29.19,-36.75,-7.56
"Echinorhinus_brucus",74.1140267863952,70.5973242126675,22.1809849855767,70.05,17,0.17,15.9638841204399,15.6379832198438,6.94033177378816,60.58,38.5,27,0.27,3.6817042806718,2.965580630118,2.51210421525967,60.17,49.5,22,0.22,"Echinorhinus brucus",-9.47,-9.88,-0.409999999999997
"Echinorhinus_cookei",74.1140267863952,70.5973242126675,22.1809849855767,71.05,17,0.17,15.5687437453854,15.6413786702844,6.48064299093547,61.98,41,20,0.2,3.67469286582488,2.83976908105231,2.50329020961562,61.54,50,26,0.26,"Echinorhinus cookei",-9.07,-9.51,-0.439999999999998
"Zapteryx_xyster",70.4591776592676,68.6961947821917,19.8437893508063,72.58,8,0.08,16.3444262610824,16.3542599041315,5.58204911531799,39.82,40,9,0.09,4.12240185914259,4.03465880026636,1.72610646559641,31.62,31,22,0.22,"Zapteryx xyster",-32.76,-40.96,-8.2
"Heterodontus_francisci",77.7031126488292,70.9222807919477,30.2518020442905,77.63,23,0.23,17.3057945274806,15.9754852367618,8.38300837615888,46.76,42.5,23,0.23,4.98372763381888,4.94451859101564,2.29274201773973,23.89,22.5,48,0.48,"Heterodontus francisci",-30.87,-53.74,-22.87
"Lamna_ditropis",63.8250660728048,65.2416867010072,9.27014271192409,84.45,0,0,9.72847916765597,10.3166976406096,3.05902450572478,109.38,106,0,0,2.12738564098611,2.22402848460515,0.974081899089132,111.09,93,0,0,"Lamna ditropis",24.93,26.64,1.71000000000001
"Lamna_nasus",63.8250660728048,65.2416867010072,9.27014271192409,85.45,0,0,9.75031550108728,10.4388102712962,3.10270448819047,109.04,105.5,0,0,2.17211753830202,2.28037221540436,1.08396446181995,111.92,89,0,0,"Lamna nasus",23.59,26.47,2.88
"Iago_garricki",64.8122692409941,67.6139334119853,14.4737625845994,88.56,0,0,8.13065904414382,9.16568465902701,4.95052086310374,264.22,151.5,0,0,0.34884215471385,0.35298991193243,0.131378189448482,669.87,605.5,0,0,"Iago garricki",175.66,581.31,405.65
"Aetomylaeus_vespertilio",69.6362519732553,75.3856643820525,18.1797833969558,88.96,0,0,9.67704928966578,10.2265601297198,4.3696320348552,128.4,119,0,0,0.413900724631146,0.385716621281576,0.161141207802076,532.92,517,0,0,"Aetomylaeus vespertilio",39.44,443.96,404.52
"Iago_omanensis",64.8122692409941,67.6139334119853,14.4737625845994,89.56,0,0,8.18199398105699,9.10808449871302,5.09012751612995,267.14,154.5,0,0,0.355940155926431,0.350170831320054,0.142165547732798,662.98,603,0,0,"Iago omanensis",177.58,573.42,395.84
"Isurus_oxyrinchus",62.7318668879915,64.0909638983039,8.62071024076224,90.27,0,0,9.53955421997323,10.1103967102148,2.94523193217367,113.94,110,0,0,2.19667893480655,2.27202519471341,1.08168478360907,108.12,90.5,0,0,"Isurus oxyrinchus",23.67,17.85,-5.81999999999999
"Isurus_paucus",62.7318668879915,64.0909638983039,8.62071024076224,91.27,0,0,9.41849301262612,9.9151193033118,2.8895794232349,116.04,115.5,0,0,2.09330827106503,2.26908904749176,0.969658045669927,115.13,93.5,0,0,"Isurus paucus",24.77,23.86,-0.910000000000011
"Aptychotrema_vincentiana",63.8659230852768,67.5665458878015,14.1719829627009,91.81,0,0,14.4752639253391,15.4107262188917,4.08221522329542,49.13,48,0,0,3.82155788267975,3.79104906959032,1.52628445888283,36.9,35,12,0.12,"Aptychotrema vincentiana",-42.68,-54.91,-12.23
"Narcine_westraliensis",63.4953113223963,63.639753541324,6.76854460554877,93.66,4,0.04,8.00349892907687,7.90925044778956,3.09552035481742,181.5,157,1,0.01,0.96310972365623,0.912605219630348,0.311923207451842,261.45,282.5,0,0,"Narcine westraliensis",87.84,167.79,79.95
