"species","Rank","species_tree.x","ED_github","Rank_rho001","species_tree.y","EvoHeritage_rho001","Ancestral_EvoHeritage","rank_change"
"Arhynchobatis asperrimus",640,"Arhynchobatis_asperrimus",27.2677503063219,645,"Arhynchobatis_asperrimus",23.3028389866444,104.177377968322,5
"Asymbolus analis",961,"Asymbolus_analis",17.5198474527874,972,"Asymbolus_analis",15.2734738215959,106.353498777005,11
"Asymbolus funebris",276,"Asymbolus_funebris",42.2738170997696,239,"Asymbolus_funebris",37.0862647721982,103.82447762114,-37
"Asymbolus galacticus",423,"Asymbolus_galacticus",34.7463413097874,382,"Asymbolus_galacticus",30.392308865233,104.562821204104,-41
"Asymbolus occiduus",970,"Asymbolus_occiduus",17.2395797631208,997,"Asymbolus_occiduus",14.4719856414781,104.501634683,27
"Asymbolus pallidus",383,"Asymbolus_pallidus",36.9044834006446,326,"Asymbolus_pallidus",32.8244020291064,108.498164628839,-57
"Asymbolus parvus",980,"Asymbolus_parvus",17.0218579551208,1007,"Asymbolus_parvus",14.2658581944835,105.802850660863,27
"Asymbolus rubiginosus",993,"Asymbolus_rubiginosus",16.5087598782874,1020,"Asymbolus_rubiginosus",13.913529482065,105.692958545696,27
"Asymbolus submaculatus",992,"Asymbolus_submaculatus",16.5087598782874,1034,"Asymbolus_submaculatus",13.6827156129252,104.554673921677,42
"Asymbolus vincenti",979,"Asymbolus_vincenti",17.0218579551208,998,"Asymbolus_vincenti",14.4282020272568,106.342738872713,19
"Atelomycterus baliensis",136,"Atelomycterus_baliensis",53.5882789284473,118,"Atelomycterus_baliensis",44.6160298342997,99.4486747722514,-18
"Atelomycterus fasciatus",339,"Atelomycterus_fasciatus",38.9450633097807,431,"Atelomycterus_fasciatus",28.8871004536174,98.5068860427552,92
"Atelomycterus macleayi",340,"Atelomycterus_macleayi",38.9450633097807,432,"Atelomycterus_macleayi",28.831925586141,96.746590179605,92
"Atelomycterus marmoratus",137,"Atelomycterus_marmoratus",53.5882789284473,134,"Atelomycterus_marmoratus",42.917666037916,96.5615013805022,-3
"Atelomycterus marnkalha",322,"Atelomycterus_marnkalha",39.7938626417807,410,"Atelomycterus_marnkalha",29.494790326071,97.4080161648716,88
"Atlantoraja castelnaui",434,"Atlantoraja_castelnaui",34.0869358828146,392,"Atlantoraja_castelnaui",30.0404989390452,98.14062406978,-42
"Atlantoraja cyclophora",591,"Atlantoraja_cyclophora",29.0579606128146,532,"Atlantoraja_cyclophora",26.3598977014205,94.6759135225008,-59
"Atlantoraja platana",590,"Atlantoraja_platana",29.0579606128146,521,"Atlantoraja_platana",26.7535162262343,100.545750828791,-69
"Aulohalaelurus kanakorum",184,"Aulohalaelurus_kanakorum",48.9269401454473,266,"Aulohalaelurus_kanakorum",35.5594310555932,95.7735143056553,82
"Aulohalaelurus labiosus",183,"Aulohalaelurus_labiosus",48.9269401454473,273,"Aulohalaelurus_labiosus",35.3611343208428,96.8923179451963,90
"Bathyraja abyssicola",924,"Bathyraja_abyssicola",18.4966864866754,898,"Bathyraja_abyssicola",16.947650420581,99.622012863062,-26
"Bathyraja aguja",1190,"Bathyraja_aguja",7.02447333507801,1190,"Bathyraja_aguja",6.1128078830807,102.007234162246,0
"Bathyraja aleutica",990,"Bathyraja_aleutica",16.6573622676649,971,"Bathyraja_aleutica",15.3177861039928,96.8760285318312,-19
"Bathyraja andriashevi",707,"Bathyraja_andriashevi",25.0688231833328,646,"Bathyraja_andriashevi",23.2930248302598,96.3791948666268,-61
"Bathyraja bergi",903,"Bathyraja_bergi",19.1591926663649,884,"Bathyraja_bergi",17.4091352952135,99.2087534847841,-19
"Bathyraja brachyurops",1177,"Bathyraja_brachyurops",8.90898481224944,1178,"Bathyraja_brachyurops",7.99787246977277,102.39597472636,1
"Bathyraja cousseauae",1173,"Bathyraja_cousseauae",9.13870604747722,1170,"Bathyraja_cousseauae",8.41678038615872,102.952600417206,-3
"Bathyraja diplotaenia",1178,"Bathyraja_diplotaenia",8.90898281224944,1177,"Bathyraja_diplotaenia",8.01404326862614,103.086701272166,-1
"Bathyraja eatonii",1126,"Bathyraja_eatonii",11.8301482813315,1116,"Bathyraja_eatonii",11.0603068753819,102.602540009325,-10
"Bathyraja fedorovi",1174,"Bathyraja_fedorovi",9.13870504747722,1172,"Bathyraja_fedorovi",8.3478943010685,103.804545215409,-2
"Bathyraja griseocauda",819,"Bathyraja_griseocauda",21.601073565178,787,"Bathyraja_griseocauda",19.7088148486614,101.138231067274,-32
"Bathyraja hesperafricana",786,"Bathyraja_hesperafricana",22.6648780532899,764,"Bathyraja_hesperafricana",20.2529002349041,102.775870416723,-22
"Bathyraja irrasa",1175,"Bathyraja_irrasa",9.11266157374944,1175,"Bathyraja_irrasa",8.16231783816577,101.806003195622,0
"Bathyraja ishiharai",796,"Bathyraja_ishiharai",22.35510353383,754,"Bathyraja_ishiharai",20.4578663113481,100.361568063737,-42
"Bathyraja isotrachys",991,"Bathyraja_isotrachys",16.6573612676649,970,"Bathyraja_isotrachys",15.359793492325,101.740704087041,-21
"Bathyraja kincaidii",1191,"Bathyraja_kincaidii",6.77024973232801,1192,"Bathyraja_kincaidii",5.8715991912619,100.914732165859,1
"Bathyraja leucomelanos",1079,"Bathyraja_leucomelanos",13.9784908708447,1076,"Bathyraja_leucomelanos",12.7452626099177,100.407121751172,-3
"Bathyraja lindbergi",1124,"Bathyraja_lindbergi",11.87753348833,1120,"Bathyraja_lindbergi",10.8122409774618,100.462563125225,-4
"Bathyraja longicauda",1144,"Bathyraja_longicauda",10.9140592194772,1135,"Bathyraja_longicauda",10.2404584273334,103.593119440897,-9
"Bathyraja maccaini",1133,"Bathyraja_maccaini",11.5367534725649,1132,"Bathyraja_maccaini",10.3472935409237,100.351028965159,-1
"Bathyraja maculata",1123,"Bathyraja_maculata",11.87753348833,1126,"Bathyraja_maculata",10.5209789303975,99.8491312215698,3
"Bathyraja mariposa",1189,"Bathyraja_mariposa",7.02447533507801,1189,"Bathyraja_mariposa",6.14029184605854,101.700930575615,0
"Bathyraja matsubarai",1182,"Bathyraja_matsubarai",8.74866876717801,1174,"Bathyraja_matsubarai",8.16841115098487,101.997688198792,-8
"Bathyraja meridionalis",1106,"Bathyraja_meridionalis",12.8964858547494,1101,"Bathyraja_meridionalis",11.9233606751784,103.440063581188,-5
"Bathyraja microtrachys",1061,"Bathyraja_microtrachys",14.6277984218315,1041,"Bathyraja_microtrachys",13.5399803206827,101.563809807059,-20
"Bathyraja minispinosa",1153,"Bathyraja_minispinosa",10.2055735314772,1148,"Bathyraja_minispinosa",9.42630802442832,100.521293082929,-5
"Bathyraja notoroensis",835,"Bathyraja_notoroensis",20.8136919439994,808,"Bathyraja_notoroensis",19.1783778147326,102.883771762703,-27
"Bathyraja pallida",1082,"Bathyraja_pallida",13.9382774994994,1067,"Bathyraja_pallida",12.8970198040031,101.224046194119,-15
"Bathyraja panthera",1168,"Bathyraja_panthera",9.52286204824944,1169,"Bathyraja_panthera",8.54608375290209,101.410659459841,1
"Bathyraja papilionifera",1176,"Bathyraja_papilionifera",9.11266057374944,1173,"Bathyraja_papilionifera",8.28605051815927,100.308452516347,-3
"Bathyraja parmifera",1165,"Bathyraja_parmifera",9.67617636769944,1163,"Bathyraja_parmifera",8.9650154965092,100.718838749653,-2
"Bathyraja peruana",1170,"Bathyraja_peruana",9.41679412547722,1168,"Bathyraja_peruana",8.63026471971074,101.52528351373,-2
"Bathyraja richardsoni",621,"Bathyraja_richardsoni",27.9368143238447,597,"Bathyraja_richardsoni",24.7203414884135,101.939412443632,-24
"Bathyraja scaphiops",1051,"Bathyraja_scaphiops",15.0230492567494,1006,"Bathyraja_scaphiops",14.2758901111309,98.9958094731101,-45
"Bathyraja schroederi",1095,"Bathyraja_schroederi",13.5492317176106,1088,"Bathyraja_schroederi",12.5072457147853,102.67499345843,-7
"Bathyraja shuntovi",1057,"Bathyraja_shuntovi",14.8177589006994,1035,"Bathyraja_shuntovi",13.6783610412824,103.341684354873,-22
"Bathyraja simoterus",950,"Bathyraja_simoterus",17.7262064619994,941,"Bathyraja_simoterus",16.0409493162189,101.717900686237,-9
"Bathyraja smirnovi",1183,"Bathyraja_smirnovi",8.70443259219944,1184,"Bathyraja_smirnovi",7.73291787249209,98.7716797383166,1
"Bathyraja smithii",955,"Bathyraja_smithii",17.6553324838447,938,"Bathyraja_smithii",16.1321460546575,101.787032919314,-17
"Bathyraja spinicauda",1125,"Bathyraja_spinicauda",11.8301492813315,1118,"Bathyraja_spinicauda",10.971334757051,102.12236823615,-7
"Bathyraja spinosissima",797,"Bathyraja_spinosissima",22.35510353383,760,"Bathyraja_spinosissima",20.3738132828853,99.5597575538837,-37
"Bathyraja trachouros",1080,"Bathyraja_trachouros",13.9784908708447,1069,"Bathyraja_trachouros",12.8875672604584,100.052211179649,-11
"Bathyraja trachura",925,"Bathyraja_trachura",18.4966864866754,890,"Bathyraja_trachura",17.2544632492908,102.128866556994,-35
"Bathyraja tunae",1169,"Bathyraja_tunae",9.41679412547722,1166,"Bathyraja_tunae",8.70794004714017,102.623974299657,-3
