"Rank_EH","species_tree","species","EvoHeritage","Ancestral_EvoHeritage","rho","min_age","max_age","lambda","repeats"
274,"Rhinobatos_hynnicephalus","Rhinobatos hynnicephalus",1.00205109174162,22.9049333739955,0.01,145,4025,1,100
275,"Euprotomicroides_zantedeschia","Euprotomicroides zantedeschia",0.990204788438171,25.842555865563,0.01,145,4025,1,100
276,"Scymnodon_ringens","Scymnodon ringens",0.989923731937119,27.7049458674679,0.01,145,4025,1,100
277,"Narcine_entemedor","Narcine entemedor",0.986556341016453,26.5499650081261,0.01,145,4025,1,100
278,"Sinobatis_bulbicauda","Sinobatis bulbicauda",0.982230528112904,23.8131030561907,0.01,145,4025,1,100
279,"Discopyge_castelloi","Discopyge castelloi",0.978940511374772,25.681391498347,0.01,145,4025,1,100
280,"Discopyge_tschudii","Discopyge tschudii",0.978940511374772,25.681391498347,0.01,145,4025,1,100
281,"Heteronarce_garmani","Heteronarce garmani",0.977027961997444,27.6504014961695,0.01,145,4025,1,100
282,"Cruriraja_parcomaculata","Cruriraja parcomaculata",0.97188148566819,20.5388545334167,0.01,145,4025,1,100
283,"Chimaera_lignaria","Chimaera lignaria",0.966180913697299,20.9454468906647,0.01,145,4025,1,100
284,"Chimaera_notafricana","Chimaera notafricana",0.966180913697299,20.9454468906647,0.01,145,4025,1,100
285,"Euprotomicrus_bispinatus","Euprotomicrus bispinatus",0.965741067939093,26.9104201562701,0.01,145,4025,1,100
286,"Sinobatis_filicauda","Sinobatis filicauda",0.964928569320695,22.2853096068055,0.01,145,4025,1,100
287,"Scymnodalatias_sherwoodi","Scymnodalatias sherwoodi",0.954441731383457,23.5915546474965,0.01,145,4025,1,100
288,"Scymnodalatias_albicauda","Scymnodalatias albicauda",0.953357474658565,22.7066203181763,0.01,145,4025,1,100
289,"Proscyllium_habereri","Proscyllium habereri",0.952058864381777,24.9364623635038,0.01,145,4025,1,100
290,"Scymnodalatias_garricki","Scymnodalatias garricki",0.946559663671639,22.3797478987184,0.01,145,4025,1,100
291,"Torpedo_tokionis","Torpedo tokionis",0.941687376000165,31.591568296294,0.01,145,4025,1,100
292,"Oxynotus_paradoxus","Oxynotus paradoxus",0.934307016576777,24.3067876973912,0.01,145,4025,1,100
293,"Torpedo_suessii","Torpedo suessii",0.918342267357178,29.1515500295144,0.01,145,4025,1,100
294,"Torpedo_bauchotae","Torpedo bauchotae",0.916489451058097,29.6018947411939,0.01,145,4025,1,100
295,"Proscymnodon_macracanthus","Proscymnodon macracanthus",0.909435926274639,25.8783536998573,0.01,145,4025,1,100
296,"Cirrhigaleus_australis","Cirrhigaleus australis",0.90662429824594,29.674052743609,0.01,145,4025,1,100
297,"Narcine_westraliensis","Narcine westraliensis",0.900374429836917,23.3909042061353,0.01,145,4025,1,100
298,"Oxynotus_bruniensis","Oxynotus bruniensis",0.897349211311418,25.8150757624471,0.01,145,4025,1,100
299,"Proscymnodon_plunketi","Proscymnodon plunketi",0.895465663480813,24.7745096554771,0.01,145,4025,1,100
300,"Scyliorhinus_haeckelii","Scyliorhinus haeckelii",0.884979922582884,24.226851713547,0.01,145,4025,1,100
301,"Scyliorhinus_capensis","Scyliorhinus capensis",0.862503446184894,24.8465364752177,0.01,145,4025,1,100
302,"Oxynotus_japonicus","Oxynotus japonicus",0.861478321495411,24.7404572203266,0.01,145,4025,1,100
303,"Scymnodalatias_oligodon","Scymnodalatias oligodon",0.857468774362147,20.9489099171067,0.01,145,4025,1,100
304,"Scyliorhinus_torrei","Scyliorhinus torrei",0.857195425103338,24.7574388948041,0.01,145,4025,1,100
305,"Oxynotus_centrina","Oxynotus centrina",0.853593549991588,23.9919908211857,0.01,145,4025,1,100
306,"Cirrhigaleus_asper","Cirrhigaleus asper",0.851511683020032,21.1602469725417,0.01,145,4025,1,100
307,"Diplobatis_guamachensis","Diplobatis guamachensis",0.850206567855274,26.2374272153986,0.01,145,4025,1,100
308,"Hydrolagus_bemisi","Hydrolagus bemisi",0.839741222367104,17.7502501542695,0.01,145,4025,1,100
309,"Gollum_attenuatus","Gollum attenuatus",0.836250604083855,20.5537001864236,0.01,145,4025,1,100
310,"Centroscymnus_owstonii","Centroscymnus owstonii",0.835859031072402,21.8376342427789,0.01,145,4025,1,100
311,"Cirrhigaleus_barbifer","Cirrhigaleus barbifer",0.829447979926448,27.5476946090583,0.01,145,4025,1,100
312,"Cephaloscyllium_maculatum","Cephaloscyllium maculatum",0.813527355364516,30.0372929392386,0.01,145,4025,1,100
313,"Proscyllium_magnificum","Proscyllium magnificum",0.805240925673277,24.7526856237909,0.01,145,4025,1,100
314,"Proscyllium_venustum","Proscyllium venustum",0.804312778556725,23.4132570602023,0.01,145,4025,1,100
315,"Scyliorhinus_canicula","Scyliorhinus canicula",0.79651711641692,25.1245252804209,0.01,145,4025,1,100
316,"Etmopterus_joungi","Etmopterus joungi",0.786947171956072,28.8409740845965,0.01,145,4025,1,100
317,"Etmopterus_dislineatus","Etmopterus dislineatus",0.777946779082909,29.3021927185112,0.01,145,4025,1,100
318,"Heteronarce_bentuviai","Heteronarce bentuviai",0.770621591240951,23.6142830064714,0.01,145,4025,1,100
319,"Heteronarce_mollis","Heteronarce mollis",0.770621591240951,23.6142830064714,0.01,145,4025,1,100
320,"Narcine_brasiliensis","Narcine brasiliensis",0.763505188964427,27.2272128245147,0.01,145,4025,1,100
321,"Eridacnis_barbouri","Eridacnis barbouri",0.761941123623463,24.1661301800787,0.01,145,4025,1,100
322,"Heteronarce_prabhui","Heteronarce prabhui",0.760770803229394,24.7572267329454,0.01,145,4025,1,100
323,"Squalus_megalops","Squalus megalops",0.758746871231587,27.4590251426775,0.01,145,4025,1,100
324,"Torpedo_semipelagica","Torpedo semipelagica",0.758156113293749,26.6380848614396,0.01,145,4025,1,100
325,"Gollum_suluensis","Gollum suluensis",0.756507241207921,18.7298216458781,0.01,145,4025,1,100
326,"Narcine_ornata","Narcine ornata",0.753806631453048,23.8692209534352,0.01,145,4025,1,100
327,"Ctenacis_fehlmanni","Ctenacis fehlmanni",0.753693626322716,23.0845692803695,0.01,145,4025,1,100
328,"Torpedo_torpedo","Torpedo torpedo",0.753064553684919,29.5332112777828,0.01,145,4025,1,100
329,"Eridacnis_radcliffei","Eridacnis radcliffei",0.752707217361896,24.0195552217847,0.01,145,4025,1,100
330,"Eridacnis_sinuans","Eridacnis sinuans",0.751687848227943,23.5814273312617,0.01,145,4025,1,100
331,"Scyliorhinus_comoroensis","Scyliorhinus comoroensis",0.75097379852164,24.9531097504204,0.01,145,4025,1,100
332,"Cephaloscyllium_pardelotum","Cephaloscyllium pardelotum",0.746003776424981,29.6252138342439,0.01,145,4025,1,100
333,"Narcine_maculata","Narcine maculata",0.74428220338421,26.4233672428824,0.01,145,4025,1,100
334,"Crassinarke_dormitor","Crassinarke dormitor",0.74221315972236,22.9452811806817,0.01,145,4025,1,100
335,"Squalus_acanthias","Squalus acanthias",0.740193115888774,23.7771717430122,0.01,145,4025,1,100
336,"Squalus_griffini","Squalus griffini",0.73906723580477,22.5739464606283,0.01,145,4025,1,100
337,"Typhlonarke_tarakea","Typhlonarke tarakea",0.738741771688318,22.4972019406197,0.01,145,4025,1,100
338,"Narcine_nelsoni","Narcine nelsoni",0.738206469384829,26.4102369194056,0.01,145,4025,1,100
339,"Cephaloscyllium_speccum","Cephaloscyllium speccum",0.737509562704938,27.9227194954596,0.01,145,4025,1,100
340,"Narcine_vermiculatus","Narcine vermiculatus",0.737134017541191,28.4847939996609,0.01,145,4025,1,100
341,"Temera_hardwickii","Temera hardwickii",0.737076447640387,21.9334333787645,0.01,145,4025,1,100
342,"Centroscyllium_ritteri","Centroscyllium ritteri",0.735213203281961,22.7648085838599,0.01,145,4025,1,100
343,"Centroscyllium_ornatum","Centroscyllium ornatum",0.731592430803823,23.2348424890673,0.01,145,4025,1,100
344,"Squalus_notocaudatus","Squalus notocaudatus",0.729394462956801,23.4545177077622,0.01,145,4025,1,100
345,"Narcine_firma","Narcine firma",0.729227522240617,26.2172426007748,0.01,145,4025,1,100
346,"Scyliorhinus_stellaris","Scyliorhinus stellaris",0.727730096977023,22.543000033902,0.01,145,4025,1,100
347,"Typhlonarke_aysoni","Typhlonarke aysoni",0.726347646502326,22.4471897881752,0.01,145,4025,1,100
348,"Scyliorhinus_tokubee","Scyliorhinus tokubee",0.725743475945028,27.1413018720502,0.01,145,4025,1,100
349,"Cephaloscyllium_sarawakensis","Cephaloscyllium sarawakensis",0.724909176004118,31.0013414645032,0.01,145,4025,1,100
350,"Cephaloscyllium_cooki","Cephaloscyllium cooki",0.721413434112569,26.6999614048767,0.01,145,4025,1,100
351,"Narke_capensis","Narke capensis",0.719693837782555,22.0410906112316,0.01,145,4025,1,100
352,"Narcine_brevilabiata","Narcine brevilabiata",0.718939159798181,24.8795859350459,0.01,145,4025,1,100
353,"Aculeola_nigra","Aculeola nigra",0.718863622073628,22.0638887954101,0.01,145,4025,1,100
354,"Torpedo_marmorata","Torpedo marmorata",0.716860505415551,28.783052065577,0.01,145,4025,1,100
355,"Electrolux_addisoni","Electrolux addisoni",0.714894184918873,21.7996410354047,0.01,145,4025,1,100
356,"Torpedo_panthera","Torpedo panthera",0.713075378865257,27.3254227412911,0.01,145,4025,1,100
357,"Etmopterus_lucifer","Etmopterus lucifer",0.711952758744721,28.207622954199,0.01,145,4025,1,100
358,"Narke_dipterygia","Narke dipterygia",0.711298768674107,21.3247735124386,0.01,145,4025,1,100
359,"Etmopterus_hillianus","Etmopterus hillianus",0.710763759099554,27.1346294395188,0.01,145,4025,1,100
360,"Squalus_suckleyi","Squalus suckleyi",0.706912275415545,23.5822523951332,0.01,145,4025,1,100
361,"Scyliorhinus_hesperius","Scyliorhinus hesperius",0.706023744240406,23.7997851299835,0.01,145,4025,1,100
362,"Centroscyllium_kamoharai","Centroscyllium kamoharai",0.701673977675779,23.1737173580241,0.01,145,4025,1,100
363,"Centroscyllium_nigrum","Centroscyllium nigrum",0.701673977675779,23.1737173580241,0.01,145,4025,1,100
364,"Narke_japonica","Narke japonica",0.700751518192028,20.8981468847576,0.01,145,4025,1,100
365,"Cephaloscyllium_variegatum","Cephaloscyllium variegatum",0.700394491438675,28.1460847478816,0.01,145,4025,1,100
366,"Torpedo_microdiscus","Torpedo microdiscus",0.699527678165395,26.7464619385834,0.01,145,4025,1,100
367,"Torpedo_peruana","Torpedo peruana",0.697322070294652,26.6970288832083,0.01,145,4025,1,100
368,"Scyliorhinus_besnardi","Scyliorhinus besnardi",0.696776948790587,24.1835524933994,0.01,145,4025,1,100
369,"Scyliorhinus_torazame","Scyliorhinus torazame",0.696156276183341,24.1047239971774,0.01,145,4025,1,100
370,"Diplobatis_colombiensis","Diplobatis colombiensis",0.695482681146579,26.0474726123226,0.01,145,4025,1,100
371,"Etmopterus_molleri","Etmopterus molleri",0.6922074674257,26.2133599819606,0.01,145,4025,1,100
372,"Torpedo_zugmayeri","Torpedo zugmayeri",0.690183064249982,27.7106479422849,0.01,145,4025,1,100
373,"Torpedo_fuscomaculata","Torpedo fuscomaculata",0.689035352646765,27.6227247015748,0.01,145,4025,1,100
374,"Cephaloscyllium_laticeps","Cephaloscyllium laticeps",0.682755030774225,27.9442429096382,0.01,145,4025,1,100
375,"Cephaloscyllium_silasi","Cephaloscyllium silasi",0.682509237062689,26.2597012007214,0.01,145,4025,1,100
376,"Narcine_rierai","Narcine rierai",0.681818332335128,24.8795859350459,0.01,145,4025,1,100
377,"Scyliorhinus_garmani","Scyliorhinus garmani",0.681170766971229,25.3645753616444,0.01,145,4025,1,100
378,"Cephaloscyllium_isabellum","Cephaloscyllium isabellum",0.680651639464687,28.6767699283083,0.01,145,4025,1,100
379,"Torpedo_tremens","Torpedo tremens",0.67958528637894,26.0383568644379,0.01,145,4025,1,100
380,"Diplobatis_pictus","Diplobatis pictus",0.679118740581994,26.6351848883949,0.01,145,4025,1,100
381,"Cephaloscyllium_zebrum","Cephaloscyllium zebrum",0.679096437904125,28.2829785503293,0.01,145,4025,1,100
382,"Cephaloscyllium_umbratile","Cephaloscyllium umbratile",0.676859275095046,28.6674661484737,0.01,145,4025,1,100
383,"Squalus_altipinnis","Squalus altipinnis",0.672689859055749,20.4637864813112,0.01,145,4025,1,100
384,"Cephaloscyllium_albipinnum","Cephaloscyllium albipinnum",0.672082566952236,27.4081501996829,0.01,145,4025,1,100
385,"Scyliorhinus_boa","Scyliorhinus boa",0.671561787524498,22.8601088485396,0.01,145,4025,1,100
386,"Scyliorhinus_meadi","Scyliorhinus meadi",0.670507600497828,23.4833052406586,0.01,145,4025,1,100
387,"Scyliorhinus_cervigoni","Scyliorhinus cervigoni",0.670109659673064,22.393674903653,0.01,145,4025,1,100
388,"Etmopterus_caudistigmus","Etmopterus caudistigmus",0.66972206252988,27.3118362021221,0.01,145,4025,1,100
389,"Torpedo_andersoni","Torpedo andersoni",0.666373276861296,25.7648364323576,0.01,145,4025,1,100
390,"Torpedo_californica","Torpedo californica",0.665644090273137,25.7175947736581,0.01,145,4025,1,100
391,"Cephaloscyllium_hiscosellum","Cephaloscyllium hiscosellum",0.662118065794119,28.2555862937628,0.01,145,4025,1,100
392,"Etmopterus_decacuspidatus","Etmopterus decacuspidatus",0.660669440638064,27.195084461568,0.01,145,4025,1,100
393,"Torpedo_mackayana","Torpedo mackayana",0.656882270839543,23.827945523447,0.01,145,4025,1,100
394,"Centroscyllium_granulatum","Centroscyllium granulatum",0.655498555230637,22.2230297725643,0.01,145,4025,1,100
395,"Etmopterus_viator","Etmopterus viator",0.652137447751978,24.6552003319462,0.01,145,4025,1,100
