"tip.label","partitioned.EvoHeritage","lf.rank"
"Hydrolagus_mitsukurii",48.1113732933472,194
"Hydrolagus_africanus",48.1113732933472,195
"Sutorectus_tentaculatus",48.0882773260058,196
"Harriotta_raleighana",47.988532905646,197
"Harriotta_haeckeli",47.988532905646,198
"Haploblepharus_fuscus",47.9322175725376,199
"Squatina_africana",47.9240227224725,200
"Zameus_squamulosus",47.7181133088935,201
"Zameus_ichiharai",47.7181133088935,202
"Rostroraja_alba",47.4490094775145,203
"Scymnodon_ringens",47.3635179802744,204
"Himantura_schmardae",47.3547877304792,205
"Himantura_pacifica",47.3547877304792,206
"Oxynotus_caribbaeus",47.3063593235464,207
"Nebrius_ferrugineus",47.2858732946908,208
"Rhincodon_typus",47.2858722946908,209
"Neotrygon_kuhlii",47.2446167703903,210
"Heterodontus_zebra",47.2241605439493,211
"Heterodontus_quoyi",47.2241595439493,212
"Etmopterus_robinsi",47.1385970878581,213
"Dasyatis_sabina",47.0942333097574,214
"Dasyatis_sinensis",47.0942333097574,215
"Rhinobatos_albomaculatus",47.0339112279886,216
"Pteroplatytrygon_violacea",46.9298047949862,217
"Ginglymostoma_cirratum",46.9020815694908,218
"Stegostoma_fasciatum",46.9020805694908,219
"Centrophorus_westraliensis",46.7187036666619,220
"Rhinobatos_irvinei",46.641666060125,221
"Rhinobatos_lentiginosus",46.641666060125,222
"Squatina_armata",46.5277090272725,223
"Cruriraja_parcomaculata",46.4191699898302,224
"Mustelus_whitneyi",46.3631274742462,225
"Cephaloscyllium_maculatum",46.3195276811921,226
"Dactylobatus_armatus",45.7050270516515,227
"Dactylobatus_clarkii",45.7050270516515,228
"Acroteriobatus_salalah",45.2721415009887,229
"Rhinobatos_glaucostigma",45.2721415009887,230
"Mustelus_sinusmexicanus",45.2425151926052,231
"Cirrhoscyllium_japonicum",45.0680188794163,232
"Acroteriobatus_annulatus",45.0618753655774,233
"Torpedo_mackayana",45.0577488011901,234
"Torpedo_tokionis",45.0577488011901,235
"Sinobatis_filicauda",45.0422554535858,236
"Sinobatis_bulbicauda",45.0422554535858,237
"Deania_hystricosa",45.00699638698,238
"Deania_calcea",45.00699638698,239
"Torpedo_suessii",44.8900985777346,240
"Torpedo_bauchotae",44.8900985777346,241
"Figaro_boardmani",44.8464750919918,242
"Figaro_striatus",44.8464750919918,243
"Isistius_plutodus",44.7808854121427,244
