"species","major_group"
"Hemiscyllium hallstromi","shark"
"Hemiscyllium henryi","shark"
"Hemiscyllium michaeli","shark"
"Hemiscyllium ocellatum","shark"
"Hemiscyllium strahani","shark"
"Hemiscyllium trispeculare","shark"
"Hemitriakis abdita","shark"
"Hemitriakis complicofasciata","shark"
"Hemitriakis falcata","shark"
"Hemitriakis indroyonoi","shark"
"Hemitriakis japanica","shark"
"Hemitriakis leucoperiptera","shark"
"Heptranchias perlo","shark"
"Heterodontus francisci","shark"
"Heterodontus galeatus","shark"
"Heterodontus japonicus","shark"
"Heterodontus mexicanus","shark"
"Heterodontus omanensis","shark"
"Heterodontus portusjacksoni","shark"
"Heterodontus quoyi","shark"
"Heterodontus ramalheira","shark"
"Heterodontus zebra","shark"
"Heteronarce bentuviai","ray"
"Heteronarce garmani","ray"
"Heteronarce mollis","ray"
"Heteronarce prabhui","ray"
"Heteroscymnoides marleyi","shark"
"Hexanchus griseus","shark"
"Hexanchus nakamurai","shark"
"Hexanchus vitulus","shark"
"Hexatrygon bickelli","ray"
"Himantura astra","ray"
"Himantura dalyensis","ray"
"Himantura fai","ray"
"Himantura gerrardi","ray"
"Himantura granulata","ray"
"Himantura hortlei","ray"
"Himantura imbricata","ray"
"Himantura jenkinsii","ray"
"Himantura kittipongi","unknown"
"Himantura leoparda","ray"
"Himantura lobistoma","ray"
"Himantura marginata","ray"
"Himantura oxyrhyncha","ray"
"Himantura pacifica","ray"
"Himantura pastinacoides","ray"
"Himantura polylepis","ray"
"Himantura randalli","ray"
"Himantura schmardae","ray"
"Himantura signifer","ray"
"Himantura toshi","ray"
"Himantura uarnacoides","ray"
"Himantura uarnak","ray"
"Himantura undulata","ray"
"Himantura walga","ray"
"Holohalaelurus favus","shark"
"Holohalaelurus grennian","shark"
"Holohalaelurus melanostigma","shark"
"Holohalaelurus punctatus","shark"
"Holohalaelurus regani","shark"
"Hongeo koreana","ray"
"Hydrolagus affinis","chimaera"
"Hydrolagus africanus","chimaera"
"Hydrolagus alberti","chimaera"
"Hydrolagus alphus","chimaera"
"Hydrolagus barbouri","chimaera"
"Hydrolagus bemisi","chimaera"
"Hydrolagus colliei","chimaera"
"Hydrolagus deani","chimaera"
"Hydrolagus eidolon","chimaera"
"Hydrolagus homonycteris","chimaera"
"Hydrolagus lemures","chimaera"
"Hydrolagus lusitanicus","chimaera"
"Hydrolagus macrophthalmus","chimaera"
"Hydrolagus marmoratus","chimaera"
"Hydrolagus matallanasi","chimaera"
"Hydrolagus mccoskeri","chimaera"
"Hydrolagus melanophasma","chimaera"
"Hydrolagus mirabilis","chimaera"
"Hydrolagus mitsukurii","chimaera"
"Hydrolagus novaezealandiae","chimaera"
"Hydrolagus ogilbyi","chimaera"
"Hydrolagus pallidus","chimaera"
"Hydrolagus purpurescens","chimaera"
"Hydrolagus trolli","chimaera"
"Hypnos monopterygius","ray"
"Hypogaleus hyugaensis","shark"
"Iago garricki","shark"
"Iago omanensis","shark"
"Insentiraja laxipella","ray"
"Insentiraja subtilispinosa","ray"
"Irolita waitii","ray"
"Irolita westraliensis","ray"
"Isistius brasiliensis","shark"
"Isistius labialis","shark"
"Isistius plutodus","shark"
"Isogomphodon oxyrhynchus","shark"
"Isurus oxyrinchus","shark"
"Isurus paucus","shark"
"Lamiopsis temminckii","shark"
"Lamiopsis tephrodes","shark"
"Lamna ditropis","shark"
"Lamna nasus","shark"
"Leptocharias smithii","shark"
"Leucoraja caribbaea","ray"
"Leucoraja circularis","ray"
"Leucoraja compagnoi","ray"
"Leucoraja erinacea","ray"
"Leucoraja fullonica","ray"
"Leucoraja garmani","ray"
"Leucoraja lentiginosa","ray"
"Leucoraja leucosticta","ray"
"Leucoraja melitensis","ray"
"Leucoraja naevus","ray"
"Leucoraja ocellata","ray"
"Leucoraja pristispina","ray"
"Leucoraja virginica","ray"
"Leucoraja wallacei","ray"
"Leucoraja yucatanensis","ray"
"Loxodon macrorhinus","shark"
"Makararaja chindwinensis","unknown"
"Malacoraja kreffti","ray"
"Malacoraja obscura","ray"
"Malacoraja senta","ray"
"Malacoraja spinacidermis","ray"
"Manta alfredi","ray"
"Manta birostris","ray"
"Megachasma pelagios","shark"
"Mitsukurina owstoni","shark"
"Mobula diabolus","ray"
"Mobula eregoodootenkee","ray"
"Mobula hypostoma","ray"
"Mobula japanica","ray"
"Mobula kuhlii","ray"
"Mobula mobular","ray"
"Mobula munkiana","ray"
"Mobula rochebrunei","ray"
"Mobula tarapacana","ray"
"Mobula thurstoni","ray"
"Mollisquama parini","shark"
"Mustelus albipinnis","shark"
"Mustelus antarcticus","shark"
"Mustelus asterias","shark"
"Mustelus californicus","shark"
"Mustelus canis","shark"
"Mustelus dorsalis","shark"
"Mustelus fasciatus","shark"
"Mustelus griseus","shark"
"Mustelus henlei","shark"
"Mustelus higmani","shark"
"Mustelus lenticulatus","shark"
"Mustelus lunulatus","shark"
"Mustelus manazo","shark"
"Mustelus mangalorensis","shark"
"Mustelus mento","shark"
"Mustelus minicanis","shark"
"Mustelus mosis","shark"
"Mustelus mustelus","shark"
"Mustelus norrisi","shark"
"Mustelus palumbes","shark"
"Mustelus punctulatus","shark"
"Mustelus ravidus","shark"
"Mustelus schmitti","shark"
"Mustelus sinusmexicanus","shark"
"Mustelus stevensi","shark"
"Mustelus walkeri","shark"
"Mustelus whitneyi","shark"
"Mustelus widodoi","shark"
"Myliobatis aquila","ray"
"Myliobatis australis","ray"
"Myliobatis californicus","ray"
"Myliobatis chilensis","ray"
"Myliobatis freminvillei","ray"
"Myliobatis goodei","ray"
"Myliobatis hamlyni","ray"
"Myliobatis longirostris","ray"
"Myliobatis peruvianus","ray"
"Myliobatis rhombus","unknown"
"Myliobatis ridens","ray"
"Myliobatis tenuicaudatus","ray"
"Myliobatis tobijei","ray"
"Narcine atzi","ray"
"Narcine bancroftii","ray"
"Narcine bicolor","unknown"
"Narcine brasiliensis","ray"
"Narcine brevilabiata","ray"
"Narcine brunnea","ray"
"Narcine entemedor","ray"
"Narcine firma","ray"
"Narcine insolita","ray"
"Narcine lasti","ray"
"Narcine leoparda","ray"
"Narcine lingula","ray"
"Narcine maculata","ray"
"Narcine nelsoni","ray"
"Narcine nigra","unknown"
"Narcine oculifera","ray"
"Narcine ornata","ray"
"Narcine prodorsalis","ray"
"Narcine rierai","ray"
"Narcine tasmaniensis","ray"
"Narcine timlei","ray"
"Narcine vermiculatus","ray"
"Narcine westraliensis","ray"
"Narke capensis","ray"
"Narke dipterygia","ray"
"Narke japonica","ray"
"Nasolamia velox","shark"
"Nebrius ferrugineus","shark"
"Negaprion acutidens","shark"
"Negaprion brevirostris","shark"
"Neoharriotta carri","chimaera"
"Neoharriotta pinnata","chimaera"
"Neoharriotta pumila","chimaera"
"Neoraja africana","ray"
"Neoraja caerulea","ray"
"Neoraja carolinensis","ray"
"Neoraja iberica","ray"
"Neoraja stehmanni","ray"
"Neotrygon annotata","ray"
"Neotrygon kuhlii","ray"
"Neotrygon leylandi","ray"
"Neotrygon ningalooensis","ray"
"Neotrygon picta","ray"
"Notoraja alisae","ray"
"Notoraja azurea","ray"
"Notoraja fijiensis","ray"
"Notoraja hirticauda","ray"
"Notoraja inusitata","ray"
"Notoraja lira","ray"
"Notoraja longiventralis","ray"
"Notoraja ochroderma","ray"
"Notoraja sapphira","ray"
"Notoraja sticta","ray"
"Notoraja tobitukai","ray"
"Notorynchus cepedianus","shark"
"Odontaspis ferox","shark"
"Odontaspis noronhai","shark"
"Okamejei acutispina","ray"
"Okamejei arafurensis","ray"
"Okamejei boesemani","ray"
"Okamejei cairae","ray"
"Okamejei heemstrai","ray"
"Okamejei hollandi","ray"
"Okamejei jensenae","ray"
"Okamejei kenojei","ray"
"Okamejei leptoura","ray"
"Okamejei meerdervoortii","ray"
"Okamejei mengae","ray"
"Okamejei philipi","ray"
"Okamejei pita","ray"
"Okamejei porosa","unknown"
"Okamejei powelli","ray"
"Okamejei schmidti","ray"
"Orectolobus floridus","shark"
"Orectolobus halei","shark"
"Orectolobus hutchinsi","shark"
"Orectolobus japonicus","shark"
"Orectolobus leptolineatus","shark"
"Orectolobus maculatus","shark"
"Orectolobus ornatus","shark"
"Orectolobus parvimaculatus","shark"
"Orectolobus reticulatus","shark"
"Orectolobus wardi","shark"
"Oxynotus bruniensis","shark"
"Oxynotus caribbaeus","shark"
"Oxynotus centrina","shark"
"Oxynotus japonicus","shark"
"Oxynotus paradoxus","shark"
"Paragaleus leucolomatus","shark"
"Paragaleus pectoralis","shark"
"Paragaleus randalli","shark"
"Paragaleus tengi","shark"
"Parascyllium collare","shark"
"Parascyllium elongatum","shark"
"Parascyllium ferrugineum","shark"
"Parascyllium sparsimaculatum","shark"
"Parascyllium variolatum","shark"
"Paratrygon aiereba","unknown"
"Parmaturus albimarginatus","shark"
"Parmaturus albipenis","shark"
"Parmaturus bigus","shark"
"Parmaturus campechiensis","shark"
"Parmaturus lanatus","shark"
"Parmaturus macmillani","shark"
"Parmaturus melanobranchus","shark"
"Parmaturus pilosus","shark"
"Parmaturus sp.","unknown"
"Parmaturus xaniurus","shark"
"Pastinachus atrus","ray"
"Pastinachus gracilicaudus","ray"
"Pastinachus sephen","ray"
"Pastinachus solocirostris","ray"
"Pastinachus stellurostris","ray"
"Pavoraja alleni","ray"
"Pavoraja arenaria","ray"
"Pavoraja mosaica","ray"
"Pavoraja nitida","ray"
"Pavoraja pseudonitida","ray"
"Pavoraja umbrosa","ray"
"Pentanchus profundicolus","shark"
"Planonasus parini","shark"
"Platyrhina hyugaensis","ray"
"Platyrhina sinensis","ray"
"Platyrhina tangi","ray"
"Platyrhinoidis triseriata","ray"
"Plesiobatis daviesi","ray"
"Plesiotrygon iwamae","unknown"
"Plesiotrygon nana","unknown"
"Pliotrema warreni","shark"
"Poroderma africanum","shark"
"Poroderma pantherinum","shark"
"Potamotrygon boesemani","unknown"
"Potamotrygon brachyura","unknown"
"Potamotrygon castexi","unknown"
"Potamotrygon constellata","unknown"
"Potamotrygon dumerilii","unknown"
"Potamotrygon falkneri","unknown"
"Potamotrygon henlei","unknown"
"Potamotrygon humerosa","unknown"
"Potamotrygon hystrix","unknown"
"Potamotrygon leopoldi","unknown"
"Potamotrygon magdalenae","unknown"
"Potamotrygon marinae","unknown"
"Potamotrygon motoro","unknown"
"Potamotrygon ocellata","unknown"
"Potamotrygon orbignyi","unknown"
"Potamotrygon schroederi","unknown"
"Potamotrygon schuemacheri","unknown"
"Potamotrygon scobina","unknown"
"Potamotrygon signata","unknown"
"Potamotrygon tatianae","unknown"
"Potamotrygon tigrina","unknown"
"Potamotrygon yepezi","unknown"
"Prionace glauca","shark"
"Pristiophorus cirratus","shark"
"Pristiophorus delicatus","shark"
"Pristiophorus japonicus","shark"
"Pristiophorus nancyae","shark"
