"species","scientificname","valid_name","status","rank","class","order","family","genus"
"Centrophorus tessellatus","Centrophorus tessellatus","Centrophorus tessellatus","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centrophorus harrissoni","Centrophorus harrissoni","Centrophorus harrissoni","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centrophorus seychellorum","Centrophorus seychellorum","Centrophorus seychellorum","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centrophorus isodon","Centrophorus isodon","Centrophorus isodon","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centrophorus lusitanicus","Centrophorus lusitanicus","Centrophorus lusitanicus","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centrophorus moluccensis","Centrophorus moluccensis","Centrophorus moluccensis","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centrophorus westraliensis","Centrophorus westraliensis","Centrophorus westraliensis","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centrophorus atromarginatus","Centrophorus atromarginatus","Centrophorus atromarginatus","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centrophorus zeehaani","Centrophorus zeehaani","Centrophorus zeehaani","accepted","Species","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Aculeola nigra","Aculeola nigra","Aculeola nigra","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Aculeola"
"Centroscyllium granulatum","Centroscyllium granulatum","Centroscyllium granulatum","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium"
"Centroscyllium excelsum","Centroscyllium excelsum","Centroscyllium excelsum","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium"
"Centroscyllium kamoharai","Centroscyllium kamoharai","Centroscyllium kamoharai","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium"
"Centroscyllium nigrum","Centroscyllium nigrum","Centroscyllium nigrum","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium"
"Centroscyllium fabricii","Centroscyllium fabricii","Centroscyllium fabricii","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium"
"Centroscyllium ritteri","Centroscyllium ritteri","Centroscyllium ritteri","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium"
"Centroscyllium ornatum","Centroscyllium ornatum","Centroscyllium ornatum","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium"
"Trigonognathus kabeyai","Trigonognathus kabeyai","Trigonognathus kabeyai","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Trigonognathus"
"Etmopterus dianthus","Etmopterus dianthus","Etmopterus dianthus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus unicolor","Etmopterus unicolor","Etmopterus unicolor","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus litvinovi","Etmopterus litvinovi","Etmopterus litvinovi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus bullisi","Etmopterus bullisi","Etmopterus bullisi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus villosus","Etmopterus villosus","Etmopterus villosus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus spinax","Etmopterus spinax","Etmopterus spinax","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus princeps","Etmopterus princeps","Etmopterus princeps","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus granulosus","Etmopterus granulosus","Etmopterus granulosus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus compagnoi","Etmopterus compagnoi","Etmopterus compagnoi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus gracilispinis","Etmopterus gracilispinis","Etmopterus gracilispinis","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus schultzi","Etmopterus schultzi","Etmopterus schultzi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus polli","Etmopterus polli","Etmopterus polli","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus virens","Etmopterus virens","Etmopterus virens","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus schmidti",NA,NA,NA,NA,NA,NA,NA,NA
"Etmopterus robinsi","Etmopterus robinsi","Etmopterus robinsi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus caudistigmus","Etmopterus caudistigmus","Etmopterus caudistigmus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus decacuspidatus","Etmopterus decacuspidatus","Etmopterus decacuspidatus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus sculptus","Etmopterus sculptus","Etmopterus sculptus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus sentosus","Etmopterus sentosus","Etmopterus sentosus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus pusillus","Etmopterus pusillus","Etmopterus pusillus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus bigelowi","Etmopterus bigelowi","Etmopterus bigelowi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus splendidus","Etmopterus splendidus","Etmopterus splendidus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus burgessi","Etmopterus burgessi","Etmopterus burgessi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus fusus","Etmopterus fusus","Etmopterus fusus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus pycnolepis","Etmopterus pycnolepis","Etmopterus pycnolepis","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus carteri","Etmopterus carteri","Etmopterus carteri","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus pseudosqualiolus","Etmopterus pseudosqualiolus","Etmopterus pseudosqualiolus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus perryi","Etmopterus perryi","Etmopterus perryi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus evansi","Etmopterus evansi","Etmopterus evansi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus hillianus","Etmopterus hillianus","Etmopterus hillianus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus dislineatus","Etmopterus dislineatus","Etmopterus dislineatus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus joungi","Etmopterus joungi","Etmopterus joungi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus molleri","Etmopterus molleri","Etmopterus molleri","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus lucifer","Etmopterus lucifer","Etmopterus lucifer","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus brachyurus","Etmopterus brachyurus","Etmopterus brachyurus","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus viator","Etmopterus viator","Etmopterus viator","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Etmopterus sheikoi","Etmopterus sheikoi","Etmopterus sheikoi","accepted","Species","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Squaliolus laticaudus","Squaliolus laticaudus","Squaliolus laticaudus","accepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Squaliolus"
"Mollisquama parini","Mollisquama parini","Mollisquama parini","accepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Mollisquama"
"Heteroscymnoides marleyi","Heteroscymnoides marleyi","Heteroscymnoides marleyi","accepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Heteroscymnoides"
"Squaliolus aliae","Squaliolus aliae","Squaliolus aliae","accepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Squaliolus"
"Euprotomicroides zantedeschia","Euprotomicroides zantedeschia","Euprotomicroides zantedeschia","accepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Euprotomicroides"
"Euprotomicrus bispinatus","Euprotomicrus bispinatus","Euprotomicrus bispinatus","accepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Euprotomicrus"
"Isistius labialis","Isistius labialis","Isistius brasiliensis","unaccepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Isistius"
"Isistius brasiliensis","Isistius brasiliensis","Isistius brasiliensis","accepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Isistius"
"Isistius plutodus","Isistius plutodus","Isistius plutodus","accepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Isistius"
"Dalatias licha","Dalatias licha","Dalatias licha","accepted","Species","Elasmobranchii","Squaliformes","Dalatiidae","Dalatias"
"Cirrhigaleus asper","Cirrhigaleus asper","Cirrhigaleus asper","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Cirrhigaleus"
"Cirrhigaleus barbifer","Cirrhigaleus barbifer","Cirrhigaleus barbifer","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Cirrhigaleus"
"Cirrhigaleus australis","Cirrhigaleus australis","Cirrhigaleus australis","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Cirrhigaleus"
"Squalus notocaudatus","Squalus notocaudatus","Squalus notocaudatus","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus suckleyi","Squalus suckleyi","Squalus suckleyi","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus acanthias","Squalus acanthias","Squalus acanthias","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus altipinnis","Squalus altipinnis","Squalus altipinnis","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus griffini","Squalus griffini","Squalus griffini","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus megalops","Squalus megalops","Squalus megalops","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus melanurus","Squalus melanurus","Squalus melanurus","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus albifrons","Squalus albifrons","Squalus albifrons","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus brevirostris","Squalus brevirostris","Squalus brevirostris","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus grahami","Squalus grahami","Squalus grahami","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus mitsukurii","Squalus mitsukurii","Squalus mitsukurii","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus rancureli","Squalus rancureli","Squalus rancureli","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus montalbani","Squalus montalbani","Squalus montalbani","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus chloroculus","Squalus chloroculus","Squalus chloroculus","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus cubensis","Squalus cubensis","Squalus cubensis","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus japonicus","Squalus japonicus","Squalus japonicus","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus blainville","Squalus blainville","Squalus blainville","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus nasutus","Squalus nasutus","Squalus nasutus","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus raoulensis","Squalus raoulensis","Squalus raoulensis","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus edmundsi","Squalus edmundsi","Squalus edmundsi","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus hemipinnis","Squalus hemipinnis","Squalus hemipinnis","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus lalannei","Squalus lalannei","Squalus lalannei","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus formosus","Squalus formosus","Squalus formosus","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus crassispinus","Squalus crassispinus","Squalus crassispinus","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Squalus bucephalus","Squalus bucephalus","Squalus bucephalus","accepted","Species","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Somniosus rostratus","Somniosus rostratus","Somniosus rostratus","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Somniosus"
"Somniosus longus","Somniosus longus","Somniosus longus","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Somniosus"
"Somniosus antarcticus","Somniosus antarcticus","Somniosus antarcticus","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Somniosus"
"Somniosus pacificus","Somniosus pacificus","Somniosus pacificus","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Somniosus"
"Somniosus microcephalus","Somniosus microcephalus","Somniosus microcephalus","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Somniosus"
"Centroscymnus coelolepis","Centroscymnus coelolepis","Centroscymnus coelolepis","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Centroscymnus"
"Scymnodalatias garricki","Scymnodalatias garricki","Scymnodalatias garricki","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Scymnodalatias"
"Scymnodalatias oligodon","Scymnodalatias oligodon","Scymnodalatias oligodon","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Scymnodalatias"
"Scymnodalatias sherwoodi","Scymnodalatias sherwoodi","Scymnodalatias sherwoodi","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Scymnodalatias"
"Scymnodalatias albicauda","Scymnodalatias albicauda","Scymnodalatias albicauda","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Scymnodalatias"
"Proscymnodon plunketi","Proscymnodon plunketi","Scymnodon macracanthus","unaccepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Proscymnodon"
"Proscymnodon macracanthus","Proscymnodon macracanthus","Scymnodon macracanthus","unaccepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Proscymnodon"
"Centroscymnus owstonii","Centroscymnus owstonii","Centroscymnus owstonii","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Centroscymnus"
"Oxynotus caribbaeus","Oxynotus caribbaeus","Oxynotus caribbaeus","accepted","Species","Elasmobranchii","Squaliformes","Oxynotidae","Oxynotus"
"Oxynotus japonicus","Oxynotus japonicus","Oxynotus japonicus","accepted","Species","Elasmobranchii","Squaliformes","Oxynotidae","Oxynotus"
"Oxynotus centrina","Oxynotus centrina","Oxynotus centrina","accepted","Species","Elasmobranchii","Squaliformes","Oxynotidae","Oxynotus"
"Oxynotus bruniensis","Oxynotus bruniensis","Oxynotus bruniensis","accepted","Species","Elasmobranchii","Squaliformes","Oxynotidae","Oxynotus"
"Oxynotus paradoxus","Oxynotus paradoxus","Oxynotus paradoxus","accepted","Species","Elasmobranchii","Squaliformes","Oxynotidae","Oxynotus"
"Scymnodon ringens","Scymnodon ringens","Scymnodon ringens","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Scymnodon"
"Zameus squamulosus","Zameus squamulosus","Zameus squamulosus","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Zameus"
"Zameus ichiharai","Zameus ichiharai","Scymnodon ichiharai","unaccepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Zameus"
"Centroselachus crepidater","Centroselachus crepidater","Centroselachus crepidater","accepted","Species","Elasmobranchii","Squaliformes","Somniosidae","Centroselachus"
"Echinorhinus brucus","Echinorhinus brucus","Echinorhinus brucus","accepted","Species","Elasmobranchii","Echinorhiniformes","Echinorhinidae","Echinorhinus"
"Echinorhinus cookei","Echinorhinus cookei","Echinorhinus cookei","accepted","Species","Elasmobranchii","Echinorhiniformes","Echinorhinidae","Echinorhinus"
"Pliotrema warreni","Pliotrema warreni","Pliotrema warreni","accepted","Species","Elasmobranchii","Pristiophoriformes","Pristiophoridae","Pliotrema"
"Pristiophorus japonicus","Pristiophorus japonicus","Pristiophorus japonicus","accepted","Species","Elasmobranchii","Pristiophoriformes","Pristiophoridae","Pristiophorus"
"Pristiophorus delicatus","Pristiophorus delicatus","Pristiophorus delicatus","accepted","Species","Elasmobranchii","Pristiophoriformes","Pristiophoridae","Pristiophorus"
"Pristiophorus nancyae","Pristiophorus nancyae","Pristiophorus nancyae","accepted","Species","Elasmobranchii","Pristiophoriformes","Pristiophoridae","Pristiophorus"
"Pristiophorus cirratus","Pristiophorus cirratus","Pristiophorus cirratus","accepted","Species","Elasmobranchii","Pristiophoriformes","Pristiophoridae","Pristiophorus"
"Pristiophorus nudipinnis","Pristiophorus nudipinnis","Pristiophorus nudipinnis","accepted","Species","Elasmobranchii","Pristiophoriformes","Pristiophoridae","Pristiophorus"
"Pristiophorus schroederi","Pristiophorus schroederi","Pristiophorus schroederi","accepted","Species","Elasmobranchii","Pristiophoriformes","Pristiophoridae","Pristiophorus"
"Squatina legnota","Squatina legnota","Squatina legnota","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina tergocellatoides","Squatina tergocellatoides","Squatina tergocellatoides","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina formosa","Squatina formosa","Squatina formosa","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina nebulosa","Squatina nebulosa","Squatina nebulosa","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina japonica","Squatina japonica","Squatina japonica","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina californica","Squatina californica","Squatina californica","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina dumeril","Squatina dumeril","Squatina dumeril","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina occulta","Squatina occulta","Squatina occulta","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina guggenheim","Squatina guggenheim","Squatina guggenheim","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina armata","Squatina armata","Squatina armata","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina africana","Squatina africana","Squatina africana","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina albipunctata","Squatina albipunctata","Squatina albipunctata","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina tergocellata","Squatina tergocellata","Squatina tergocellata","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina pseudocellata","Squatina pseudocellata","Squatina pseudocellata","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina oculata","Squatina oculata","Squatina oculata","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina australis","Squatina australis","Squatina australis","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina argentina","Squatina argentina","Squatina argentina","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina aculeata","Squatina aculeata","Squatina aculeata","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina squatina","Squatina squatina","Squatina squatina","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Squatina caillieti","Squatina caillieti","Squatina caillieti","accepted","Species","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Heterodontus francisci","Heterodontus francisci","Heterodontus francisci","accepted","Species","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Heterodontus zebra","Heterodontus zebra","Heterodontus zebra","accepted","Species","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Heterodontus quoyi","Heterodontus quoyi","Heterodontus quoyi","accepted","Species","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Heterodontus portusjacksoni","Heterodontus portusjacksoni","Heterodontus portusjacksoni","accepted","Species","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Heterodontus galeatus","Heterodontus galeatus","Heterodontus galeatus","accepted","Species","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Heterodontus ramalheira","Heterodontus ramalheira","Heterodontus ramalheira","accepted","Species","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Heterodontus japonicus","Heterodontus japonicus","Heterodontus japonicus","accepted","Species","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Heterodontus omanensis","Heterodontus omanensis","Heterodontus omanensis","accepted","Species","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Heterodontus mexicanus","Heterodontus mexicanus","Heterodontus mexicanus","accepted","Species","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Parascyllium variolatum","Parascyllium variolatum","Parascyllium variolatum","accepted","Species","Elasmobranchii","Orectolobiformes","Parascylliidae","Parascyllium"
"Parascyllium ferrugineum","Parascyllium ferrugineum","Parascyllium ferrugineum","accepted","Species","Elasmobranchii","Orectolobiformes","Parascylliidae","Parascyllium"
"Parascyllium elongatum","Parascyllium elongatum","Parascyllium elongatum","accepted","Species","Elasmobranchii","Orectolobiformes","Parascylliidae","Parascyllium"
"Parascyllium collare","Parascyllium collare","Parascyllium collare","accepted","Species","Elasmobranchii","Orectolobiformes","Parascylliidae","Parascyllium"
"Parascyllium sparsimaculatum","Parascyllium sparsimaculatum","Parascyllium sparsimaculatum","accepted","Species","Elasmobranchii","Orectolobiformes","Parascylliidae","Parascyllium"
"Cirrhoscyllium expolitum","Cirrhoscyllium expolitum","Cirrhoscyllium expolitum","accepted","Species","Elasmobranchii","Orectolobiformes","Parascylliidae","Cirrhoscyllium"
"Cirrhoscyllium formosanum","Cirrhoscyllium formosanum","Cirrhoscyllium formosanum","accepted","Species","Elasmobranchii","Orectolobiformes","Parascylliidae","Cirrhoscyllium"
"Cirrhoscyllium japonicum","Cirrhoscyllium japonicum","Cirrhoscyllium japonicum","accepted","Species","Elasmobranchii","Orectolobiformes","Parascylliidae","Cirrhoscyllium"
"Brachaelurus colcloughi","Brachaelurus colcloughi","Brachaelurus colcloughi","accepted","Species","Elasmobranchii","Orectolobiformes","Brachaeluridae","Brachaelurus"
"Brachaelurus waddi","Brachaelurus waddi","Brachaelurus waddi","accepted","Species","Elasmobranchii","Orectolobiformes","Brachaeluridae","Brachaelurus"
"Eucrossorhinus dasypogon","Eucrossorhinus dasypogon","Eucrossorhinus dasypogon","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Eucrossorhinus"
"Orectolobus ornatus","Orectolobus ornatus","Orectolobus ornatus","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Orectolobus floridus","Orectolobus floridus","Orectolobus floridus","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Orectolobus reticulatus","Orectolobus reticulatus","Orectolobus reticulatus","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Sutorectus tentaculatus","Sutorectus tentaculatus","Sutorectus tentaculatus","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Sutorectus"
"Orectolobus leptolineatus","Orectolobus leptolineatus","Orectolobus leptolineatus","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Orectolobus wardi","Orectolobus wardi","Orectolobus wardi","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Orectolobus halei","Orectolobus halei","Orectolobus halei","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Orectolobus japonicus","Orectolobus japonicus","Orectolobus japonicus","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Orectolobus maculatus","Orectolobus maculatus","Orectolobus maculatus","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Orectolobus hutchinsi","Orectolobus hutchinsi","Orectolobus hutchinsi","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Orectolobus parvimaculatus","Orectolobus parvimaculatus","Orectolobus parvimaculatus","accepted","Species","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus"
"Pseudoginglymostoma brevicaudatum","Pseudoginglymostoma brevicaudatum","Pseudoginglymostoma brevicaudatum","accepted","Species","Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Pseudoginglymostoma"
"Rhincodon typus","Rhincodon typus","Rhincodon typus","accepted","Species","Elasmobranchii","Orectolobiformes","Rhincodontidae","Rhincodon"
"Nebrius ferrugineus","Nebrius ferrugineus","Nebrius ferrugineus","accepted","Species","Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Nebrius"
"Ginglymostoma cirratum","Ginglymostoma cirratum","Ginglymostoma cirratum","accepted","Species","Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Ginglymostoma"
"Stegostoma fasciatum","Stegostoma fasciatum","Stegostoma tigrinum","unaccepted","Species","Elasmobranchii","Orectolobiformes","Stegostomatidae","Stegostoma"
"Hemiscyllium ocellatum","Hemiscyllium ocellatum","Hemiscyllium ocellatum","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Hemiscyllium"
"Hemiscyllium trispeculare","Hemiscyllium trispeculare","Hemiscyllium trispeculare","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Hemiscyllium"
"Hemiscyllium henryi","Hemiscyllium henryi","Hemiscyllium henryi","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Hemiscyllium"
"Hemiscyllium galei","Hemiscyllium galei","Hemiscyllium galei","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Hemiscyllium"
"Hemiscyllium freycineti","Hemiscyllium freycineti","Hemiscyllium freycineti","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Hemiscyllium"
"Hemiscyllium hallstromi","Hemiscyllium hallstromi","Hemiscyllium hallstromi","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Hemiscyllium"
"Hemiscyllium strahani","Hemiscyllium strahani","Hemiscyllium strahani","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Hemiscyllium"
"Hemiscyllium michaeli","Hemiscyllium michaeli","Hemiscyllium michaeli","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Hemiscyllium"
"Chiloscyllium arabicum","Chiloscyllium arabicum","Chiloscyllium arabicum","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Chiloscyllium"
"Chiloscyllium hasseltii","Chiloscyllium hasseltii","Chiloscyllium hasseltii","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Chiloscyllium"
